mse_wav,mse_wav_q0,mse_wav_q1,mse_wav_q2,mse_wav_q3,samples,step
0.004054603726835921,0.02229469942314357,0.019060160693091657,0.0265808825219131,0.023780651895018913,101,100
0.001946507717948407,0.005689856328966993,0.005948805313726718,0.006613306303430969,0.007621774682775138,201,200
0.0017590578598901628,0.0054036283302896955,0.005966228096642429,0.006206077022590869,0.006762864096090198,301,300
0.001631536197382957,0.004865023773163557,0.004677723404408121,0.005802717818706124,0.005445118003990503,401,400
0.0015927267516963185,0.00502338597085327,0.0038627533080137296,0.006360400811813418,0.005800106600227375,501,500
0.0015886514511657887,0.004234191277064382,0.004736882031217895,0.006015894013335522,0.005197987030260267,601,600
0.0014617554901633415,0.003578546122298576,0.0054997945844661444,0.0047842726251110445,0.004626437711218993,701,700
0.0014584258443210278,0.004019824428605321,0.004192869334171216,0.005377111199777572,0.0043464142779287476,801,800
0.0014930882828775788,0.0034272004319491844,0.005463642994468301,0.005475376072960596,0.0052269564598406626,901,900
0.0012818130606319757,0.0036556760058738284,0.004293608354757828,0.0037132465961174327,0.0041049527062568805,1001,1000
0.001303033738804516,0.0029912004462891717,0.003042951936367899,0.004278479099628471,0.003947178527596406,1101,1100
0.0013200388211407695,0.002595493723426691,0.0035582313139457256,0.003970561528995891,0.004208871600867222,1201,1200
0.0012763147731311617,0.002691568354687964,0.0036238095116069807,0.0038317388272844258,0.004069851515602997,1301,1300
0.0012740689684869718,0.0027950520340639814,0.0039022718027064748,0.003982470461374357,0.00482046307530254,1401,1400
0.0013079548726091163,0.003712970851920545,0.004635141855529086,0.00426890717270518,0.00373556056059897,1501,1500
0.0012046739528886975,0.0021961482617860804,0.003320487555659686,0.003942449740134181,0.0032704822195228195,1601,1600
0.0012360533303581178,0.003034041472710668,0.0027547720555131405,0.003391184999297062,0.003886953249156218,1701,1700
0.0012167286005569614,0.0025881563778966665,0.0034610486263409257,0.0029947695147711775,0.004306810719537591,1801,1800
0.0012028283003019168,0.0024520783917978406,0.003512927744951513,0.0032800081475027683,0.002834999203232342,1901,1900
0.001013892000191845,0.0020203758385437336,0.002278115303287732,0.0029966435641444354,0.0027371390077116134,2001,2000
0.0010158879714435895,0.001811707569196677,0.0022478649904951443,0.003052610184319995,0.0024659467248797974,2101,2100
0.0010505968981306063,0.0015981979324186052,0.0026256584957161035,0.0030951507464383864,0.002710599146127977,2201,2200
0.0010048189159715553,0.0018553324000633975,0.0030151506197517333,0.0022817273857071987,0.002157254959456622,2301,2300
0.001138325011706911,0.002060658226366199,0.003431662185660874,0.003379836038220674,0.004225433774990962,2401,2400
0.0011199959728401157,0.0026658122398657723,0.003864392775165684,0.003574386524269358,0.003315865353215486,2501,2500
0.0010385826785932293,0.0026745777140604336,0.0022081317552162896,0.002563148256740532,0.0024160559385501107,2601,2600
0.000968895695987158,0.0015078043288667686,0.001971651082708229,0.002465371573343874,0.002592696595820598,2701,2700
0.0009704871231224388,0.0017931145868777978,0.0024793252915791836,0.0021463360692570484,0.0019193651307181548,2801,2800
0.000977594208379742,0.0018996316636912525,0.0024337671045213927,0.002230608690297231,0.002527886328365034,2901,2900
0.0009477030488778837,0.0015735380501220265,0.0022339896478859537,0.0023332140429244775,0.002003031439581436,3001,3000
0.0009043217438738795,0.001352322490198449,0.0016511545072717129,0.0020432225528879675,0.0017909519309695398,3101,3100
0.0008759708184516056,0.0012244544411078092,0.0019854518072679635,0.0018887545406219685,0.0018313880480656573,3201,3200
0.0009377257019514219,0.0018150552253549301,0.0018126173332954447,0.0023929998569656163,0.002546312811318785,3301,3300
0.0010329158525564709,0.0018772698919444033,0.0025549174355215983,0.003033460218234566,0.0030648659123107785,3401,3400
0.0008958415832603351,0.0018109572980471928,0.0018147844202758279,0.0021398682010305274,0.00197870881917576,3501,3500
0.0009794169047381731,0.0014641876735437948,0.0018998432278749537,0.00464417601324385,0.0028492756805812503,3601,3600
0.0009185317176161332,0.0014328630504143593,0.001944301153897591,0.002081382204778492,0.002194194985070051,3701,3700
0.0008660280998446976,0.001364903981690683,0.0017824633908458051,0.002066794037371157,0.0023989674565382305,3801,3800
0.0009265424287877977,0.0011918551948231957,0.0021835148955384894,0.002334333490580321,0.0029072032126490604,3901,3900
0.0009098044477286748,0.0013577086602112863,0.0019681684608603344,0.0021338500341193545,0.0029432248945037522,4001,4000
0.0009337832045275716,0.002622988896910101,0.002018538389820606,0.0025183632620610296,0.0022724196291528634,4101,4100
0.0009281913653831003,0.0017344739601906874,0.0019312846378180314,0.002534757701780746,0.002190906924250371,4201,4200
0.0009018357685999944,0.0011052916718957328,0.0018462107039120953,0.001900231319174556,0.0033203509487470403,4301,4300
0.000839525832125219,0.0010606918226732244,0.0018444382585585117,0.0015670110655124658,0.0021676699286147655,4401,4400
0.0008723903005011382,0.001366749294102192,0.0020909288619545157,0.0018989778114840961,0.002075034007984435,4501,4500
0.0008390842366497963,0.0013036290602758524,0.001643004110188816,0.0018350755694442468,0.0020197704037524422,4601,4600
0.0008611870935419573,0.002075998857617379,0.0017824037375090563,0.0020271026587579395,0.0020018650455202788,4701,4700
0.0008219443864072673,0.0013869354537042282,0.0016084876842796803,0.0016208052475121806,0.0019039888138649983,4801,4800
0.000887819700292311,0.0014158799665782485,0.002058433768663393,0.0018417919863067155,0.0023770707641513314,4901,4900
0.000856010081479326,0.0014646257477579638,0.0015422555217002002,0.001597735384065244,0.0018447570663948471,5001,5000
0.0008299126973724929,0.0015159197646426033,0.0018614481499146984,0.001797614886088232,0.001851943851522121,5101,5100
0.0008328067502588965,0.00092388856548654,0.0016267231593911464,0.0020589561582627616,0.0018467188186558155,5201,5200
0.0009016909851925446,0.00145989898359403,0.0026499449741095304,0.00322614234339978,0.0024278840713162476,5301,5300
0.0008038477128138768,0.0010008570566747543,0.0018648155751482892,0.0022254178393632173,0.0016213926266775362,5401,5400
0.000841702249017544,0.0014402879848300167,0.001774817798286677,0.0019990134541876614,0.0020457822275126276,5501,5500
0.0007543850369984279,0.001174095877407429,0.0013577519403770567,0.0014581542574368148,0.0013458891974195192,5601,5600
0.0007871187047567222,0.0013018764326378942,0.001216842951382407,0.0016734657606489404,0.0027016317520368234,5701,5700
0.0009198467529495249,0.0015769058465957642,0.001736677151215686,0.002046680179141138,0.002159203171807652,5801,5800
0.0007825404574396087,0.0010560183921673645,0.001599399733822793,0.0017315222497057655,0.002355021457491524,5901,5900
0.0007877056652796452,0.0014093578712822035,0.001470866153249517,0.0019879388977036196,0.0016486963571946103,6001,6000
0.0008700985249015503,0.001471518240018318,0.0018942338020469139,0.0024262236362450167,0.002290347188066404,6101,6100
0.0008027009083889423,0.0013306674098462928,0.002173344354378059,0.0018497030912178823,0.0018897819226486204,6201,6200
0.0008464181455201469,0.0013855279615634809,0.0015567611833103,0.002054758258357955,0.0018888888173803152,6301,6300
0.0008243904431583362,0.0014658523054094984,0.0017522378856765811,0.0018514434486860407,0.0017134610894381213,6401,6400
0.000756232522835489,0.0010440863109618908,0.0013907908997498452,0.001627263554837555,0.0013066302700382136,6501,6500
